transaction_id,datetime,customer_id,amount,currency,country,type
T00069,2026-05-27 21:51:37,C013,827.78,EUR,Spain,deposit
T00247,2026-05-17 18:46:08,C022,1765.84,EUR,Germany,deposit
T00312,2026-05-07 10:00:10,C001,723.78,EUR,Malta,transfer
T00340,2026-04-18 02:41:34,C020,207.07,EUR,Ireland,withdrawal
T00338,2026-03-15 20:31:45,C025,136.44,EUR,Netherlands,deposit
T00311,2026-05-01 17:45:44,C033,618.76,EUR,Belgium,deposit
T00325,2026-04-15 20:08:07,C018,1475.54,EUR,France,withdrawal
T00302,2026-04-03 13:05:39,C025,573.44,EUR,Spain,transfer
T00162,2026-03-21 13:28:23,C034,311.65,EUR,Netherlands,withdrawal
T00356,2026-03-15 12:40:03,C021,977.69,EUR,Belgium,withdrawal
T00098,2026-03-24 21:18:40,C031,700.99,EUR,Spain,withdrawal
T00095,2026-05-04 19:39:36,C030,1754.93,EUR,Spain,withdrawal
T00048,2026-03-31 11:18:07,C033,1292.66,EUR,Italy,deposit
T00100,2026-04-06 14:34:48,C007,1516.46,EUR,Portugal,transfer
T00140,2026-03-08 14:29:44,C024,9500,EUR,Netherlands,withdrawal
T00226,2026-03-10 04:33:46,C026,789.87,EUR,Belgium,withdrawal
T00260,2026-04-04 20:27:44,C017,1081.22,EUR,Austria,transfer
T00317,2026-05-29 06:14:23,C025,725.03,EUR,Malta,deposit
T00121,2026-05-03 21:13:55,C040,2997.72,EUR,France,deposit
T00102,2026-03-07 06:49:46,C001,1132.5,EUR,Ireland,transfer
T00079,2026-05-24 21:10:25,C019,164.9,EUR,Spain,withdrawal
T00381,2026-04-24 23:51:55,C004,528.24,EUR,France,deposit
T00415,2026-04-11 03:08:42,C019,7074.98,EUR,Myanmar,transfer
T00021,2026-04-01 21:04:40,C012,1697.59,EUR,Belgium,transfer
T00075,2026-03-24 17:45:04,C025,403.63,EUR,Netherlands,deposit
T00280,2026-04-23 16:37:53,C029,1590.83,EUR,Austria,transfer
T00233,2026-05-13 15:10:02,C002,1175.04,EUR,France,transfer
T00210,2026-04-30 09:13:22,C013,5905.38,EUR,Austria,deposit
T00007,2026-05-09 07:19:25,C034,1802.3,EUR,France,transfer
T00410,2026-04-01 01:40:26,C033,521.83,EUR,North Korea,withdrawal
T00417,2026-05-15 17:57:45,C040,2561.96,EUR,Myanmar,deposit
T00254,2026-05-07 13:43:11,C031,340.54,EUR,Portugal,withdrawal
T00154,2026-05-27 17:16:03,C028,451.02,EUR,Germany,deposit
T00161,2026-05-21 01:06:58,C023,789.1,EUR,Germany,deposit
T00293,2026-05-15 06:22:35,C021,553.29,EUR,Austria,transfer
T00240,2026-05-14 12:50:54,C032,856.05,EUR,France,deposit
T00023,2026-04-03 14:24:36,C017,133.1,EUR,France,deposit
T00430,2026-03-27 21:27:13,C026,8720.66,EUR,Spain,deposit
T00267,2026-04-06 16:32:32,C001,303.8,EUR,Netherlands,transfer
T00388,2026-05-16 22:07:18,C018,895.15,EUR,Belgium,withdrawal
T00286,2026-03-17 08:06:28,C008,227.51,EUR,Austria,deposit
T00283,2026-04-30 01:09:19,C005,711.68,EUR,Italy,withdrawal
T00420,2026-04-09 03:47:04,C001,6950.9,EUR,Syria,deposit
T00227,2026-03-17 20:04:20,C005,522.46,EUR,Netherlands,transfer
T00147,2026-03-06 23:59:23,C038,197.05,EUR,Belgium,transfer
T00101,2026-03-15 14:42:56,C003,600.79,EUR,Netherlands,transfer
T00013,2026-04-29 01:58:20,C007,972.77,EUR,Ireland,transfer
T00266,2026-03-24 10:32:21,C003,2375.57,EUR,Portugal,deposit
T00061,2026-05-19 19:26:48,C026,5826.51,EUR,Germany,deposit
T00425,2026-03-31 10:37:10,C004,4197.35,EUR,Iran,withdrawal
T00285,2026-03-18 23:47:40,C025,363.16,EUR,Austria,withdrawal
T00284,2026-04-17 13:55:32,C027,375.59,EUR,Ireland,withdrawal
T00068,2026-05-26 13:39:52,C007,3671.56,EUR,Belgium,withdrawal
T00389,2026-03-27 18:51:02,C002,3204.91,EUR,Spain,transfer
T00319,2026-03-06 02:42:24,C003,1319.9,EUR,Spain,transfer
T00185,2026-03-20 12:08:14,C017,1818.62,EUR,Belgium,deposit
T00142,2026-05-12 07:28:16,C002,234.83,EUR,Germany,deposit
T00179,2026-04-09 16:48:41,C018,827.0,EUR,Italy,withdrawal
T00105,2026-05-10 00:29:52,C039,3269.42,EUR,Spain,transfer
T00049,2026-03-25 13:58:48,C013,1423.97,EUR,Belgium,withdrawal
T00053,2026-04-24 19:56:50,C029,1235.93,EUR,Austria,withdrawal
T00085,2026-04-02 17:23:36,C031,632.8,EUR,Malta,deposit
T00444,2026-05-15 04:20:23,C015,8559.77,EUR,Portugal,deposit
T00387,2026-04-10 05:05:27,C029,832.58,EUR,Ireland,deposit
T00041,2026-04-25 00:03:41,C025,1424.52,EUR,Malta,transfer
T00112,2026-03-06 11:35:04,C013,189.63,EUR,Ireland,transfer
T00156,2026-03-07 10:28:20,C008,223.74,EUR,Ireland,transfer
T00043,2026-05-04 11:15:38,C021,887.3,EUR,Spain,transfer
T00168,2026-04-18 19:23:26,C001,660.44,EUR,Germany,transfer
T00111,2026-04-18 16:34:42,C031,390.07,EUR,Austria,withdrawal
T00008,2026-04-26 18:50:39,C020,413.64,EUR,Netherlands,withdrawal
T00354,2026-05-13 03:42:16,C018,5099.14,EUR,Italy,transfer
T00439,2026-03-14 06:49:20,C018,8683.0,EUR,Ireland,deposit
T00299,2026-05-25 20:20:49,C003,1353.65,EUR,Belgium,deposit
T00153,2026-04-23 03:27:43,C015,307.64,EUR,Ireland,withdrawal
T00443,2026-05-15 05:20:23,C015,8628.77,EUR,Netherlands,deposit
T00024,2026-03-02 16:41:08,C020,262.32,EUR,Italy,transfer
T00428,2026-03-11 09:22:49,C021,8669.03,EUR,Netherlands,deposit
T00343,2026-03-22 23:33:23,C007,2236.78,EUR,Netherlands,transfer
T00188,2026-03-24 07:47:54,C028,674.08,EUR,Spain,withdrawal
T00397,2026-05-08 22:25:46,C026,15816.59,EUR,Austria,transfer
T00349,2026-03-09 10:55:56,C007,485.49,EUR,Netherlands,deposit
T00228,2026-03-16 18:51:48,C038,207.44,EUR,Malta,deposit
T00044,2026-03-17 06:59:04,C027,274.15,EUR,Austria,withdrawal
T00088,2026-04-26 10:49:34,C040,273.93,EUR,Portugal,transfer
T00244,2026-05-19 22:14:50,C025,683.95,EUR,Spain,deposit
T00027,2026-03-27 12:29:02,C007,744.66,EUR,Belgium,deposit
T00406,2026-04-04 19:04:22,C002,3347.59,EUR,Syria,deposit
T00375,2026-04-28 17:46:08,C033,2352.71,EUR,Netherlands,withdrawal
T00275,2026-05-01 05:34:38,C019,511.59,EUR,Germany,withdrawal
T00324,2026-04-20 11:52:58,C005,229.18,EUR,Belgium,deposit
T00009,2026-05-15 20:10:03,C008,438.85,EUR,Malta,deposit
T00217,2026-05-12 01:10:44,C029,1311.09,EUR,Ireland,transfer
T00205,2026-05-04 20:10:33,C024,162.65,EUR,Austria,deposit
T00019,2026-03-08 01:49:32,C038,980.05,EUR,Netherlands,transfer
T00116,2026-05-09 01:18:25,C035,507.19,EUR,Portugal,transfer
T00042,2026-03-09 12:01:19,C035,1049.2,EUR,Ireland,transfer
T00058,2026-04-19 21:15:56,C035,628.85,EUR,Ireland,transfer
T00176,2026-05-17 05:33:56,C016,291.71,EUR,Germany,transfer
T00195,2026-03-07 23:20:40,C027,1141.22,EUR,Spain,withdrawal
T00167,2026-04-07 11:56:47,C004,396.72,EUR,Spain,deposit
T00148,2026-05-01 14:37:20,C020,109.86,EUR,Malta,withdrawal
T00441,2026-05-15 01:20:23,C015,8530.52,EUR,Italy,deposit
T00202,2026-04-28 02:17:12,C004,217.34,EUR,Belgium,deposit
T00123,2026-04-14 21:23:34,C019,921.2,EUR,Portugal,withdrawal
T00213,2026-04-04 03:00:28,C012,657.43,EUR,Austria,transfer
T00314,2026-04-15 09:43:58,C010,232.33,EUR,Spain,withdrawal
T00193,2026-03-25 13:23:33,C029,387.69,EUR,Portugal,transfer
T00320,2026-03-23 11:27:00,C018,2731.12,EUR,Malta,deposit
T00377,2026-04-06 12:17:50,C035,1794.75,EUR,Netherlands,transfer
T00348,2026-05-01 12:40:52,C020,216.34,EUR,Austria,withdrawal
T00212,2026-04-26 14:04:38,C008,1511.48,EUR,Ireland,withdrawal
T00396,2026-04-23 15:25:18,C026,43176.38,EUR,Austria,transfer
T00408,2026-05-03 20:38:22,C030,4841.65,EUR,North Korea,deposit
T00225,2026-03-12 02:23:37,C030,1892.6,EUR,Belgium,withdrawal
T00198,2026-04-19 02:58:16,C027,166.49,EUR,France,withdrawal
T00025,2026-03-09 08:53:38,C037,364.04,EUR,Netherlands,withdrawal
T00399,2026-05-08 11:53:47,C014,73343.21,EUR,Germany,transfer
T00056,2026-03-18 05:29:29,C018,62.22,EUR,Italy,deposit
T00132,2026-04-03 19:32:09,C030,247.13,EUR,Malta,deposit
T00180,2026-04-19 16:50:48,C003,2765.21,EUR,Austria,transfer
T00035,2026-05-25 09:02:07,C012,1149.33,EUR,Ireland,withdrawal
T00404,2026-05-06 18:49:53,C011,42518.63,EUR,Netherlands,transfer
T00108,2026-05-05 04:58:12,C036,337.69,EUR,Belgium,deposit
T00136,2026-03-18 14:09:00,C027,306.57,EUR,Austria,withdrawal
T00006,2026-05-10 06:00:43,C032,704.69,EUR,Portugal,withdrawal
T00426,2026-03-11 20:22:49,C021,8652.56,EUR,Italy,deposit
T00172,2026-03-12 15:54:00,C021,545.39,EUR,Netherlands,deposit
T00046,2026-04-29 16:05:05,C014,514.02,EUR,Netherlands,withdrawal
T00086,2026-03-20 05:25:55,C005,563.65,EUR,Malta,transfer
T00386,2026-04-22 22:25:50,C023,1674.71,EUR,Germany,transfer
T00178,2026-04-26 22:59:16,C040,400.73,EUR,Portugal,withdrawal
T00361,2026-05-19 01:57:06,C019,295.81,EUR,Portugal,withdrawal
T00040,2026-05-17 18:37:13,C017,217.98,EUR,Ireland,deposit
T00333,2026-04-08 17:37:49,C010,201.79,EUR,Ireland,deposit
T00322,2026-04-19 05:05:43,C037,127.24,EUR,Netherlands,transfer
T00437,2026-03-20 14:19:15,C029,9547.31,EUR,France,deposit
T00054,2026-04-01 23:12:59,C011,1361.2,EUR,Spain,withdrawal
T00114,2026-04-26 03:37:49,C032,1949.99,EUR,Italy,transfer
T00385,2026-05-23 05:58:31,C010,144.62,EUR,Belgium,withdrawal
T00094,2026-04-06 15:59:20,C004,315.78,EUR,Belgium,deposit
T00017,2026-04-06 15:24:04,C025,188.49,EUR,Portugal,transfer
T00353,2026-03-01 07:49:13,C026,211.46,EUR,Ireland,deposit
T00201,2026-03-31 10:57:52,C006,890.23,EUR,Spain,deposit
T00442,2026-05-15 09:20:23,C015,9763.49,EUR,Portugal,deposit
T00334,2026-05-16 22:27:08,C024,399.88,EUR,Portugal,deposit
T00328,2026-04-09 16:11:32,C025,484.54,EUR,Malta,withdrawal
T00066,2026-05-12 07:56:09,C003,359.87,EUR,Italy,withdrawal
T00151,2026-04-25 03:36:39,C039,725.14,EUR,Belgium,transfer
T00158,2026-04-17 04:10:58,C015,1517.84,EUR,Austria,withdrawal
T00194,2026-04-18 18:18:36,C037,2668.95,EUR,Spain,transfer
T00305,2026-04-07 05:32:56,C036,3277.95,EUR,Ireland,deposit
T00115,2026-05-23 02:55:27,C030,253.92,EUR,Ireland,withdrawal
T00183,2026-04-19 14:52:58,C012,868.29,EUR,Spain,withdrawal
T00288,2026-03-25 04:06:30,C015,366.42,EUR,Spain,deposit
T00345,2026-05-11 21:08:09,C001,299.89,EUR,Austria,transfer
T00359,2026-05-13 13:58:13,C010,684.53,EUR,Germany,withdrawal
T00250,2026-05-14 11:12:07,C002,356.7,EUR,Ireland,transfer
T00224,2026-05-10 20:50:09,C009,297.87,EUR,Netherlands,withdrawal
T00081,2026-03-25 11:29:19,C030,414.68,EUR,Italy,deposit
T00070,2026-05-24 13:29:31,C037,1297.87,EUR,Ireland,deposit
T00327,2026-04-18 23:04:46,C016,951.88,EUR,Germany,deposit
T00155,2026-05-11 20:27:00,C006,1968.56,EUR,Belgium,withdrawal
T00173,2026-04-20 11:17:48,C016,563.6,EUR,Italy,transfer
T00374,2026-05-21 03:23:22,C018,912.17,EUR,Italy,withdrawal
T00403,2026-05-29 00:24:47,C012,18204.07,EUR,Germany,transfer
T00438,2026-03-14 00:49:20,C018,8670.03,EUR,Malta,deposit
T00192,2026-05-18 10:22:26,C024,950.63,EUR,Portugal,transfer
T00038,2026-04-05 12:47:05,C013,535.23,EUR,Italy,transfer
T00187,2026-03-17 19:09:55,C006,415.02,EUR,Netherlands,deposit
T00336,2026-03-18 10:56:18,C022,565.61,EUR,Belgium,withdrawal
T00057,2026-04-23 14:50:24,C025,1844.57,EUR,Italy,withdrawal
T00351,2026-05-11 15:31:25,C016,702.83,EUR,Netherlands,withdrawal
T00301,2026-05-10 11:42:34,C039,1120.39,EUR,France,withdrawal
T00076,2026-05-29 10:03:31,C023,1335.54,EUR,Belgium,transfer
T00012,2026-04-22 06:55:57,C037,777.0,EUR,Portugal,deposit
T00031,2026-05-10 05:23:30,C010,1017.97,EUR,Belgium,withdrawal
T00166,2026-03-29 14:23:27,C038,625.15,EUR,Malta,transfer
T00362,2026-05-11 18:24:08,C001,645.79,EUR,Ireland,transfer
T00175,2026-04-14 23:29:59,C034,783.16,EUR,Netherlands,deposit
T00067,2026-03-15 05:57:45,C017,1091.35,EUR,Belgium,withdrawal
T00104,2026-03-16 01:03:03,C036,298.81,EUR,Portugal,transfer
T00423,2026-03-11 21:08:42,C024,4396.89,EUR,Cayman Islands,deposit
T00170,2026-04-10 20:57:45,C003,554.31,EUR,Italy,withdrawal
T00001,2026-04-04 23:20:12,C036,1940.48,EUR,Austria,withdrawal
T00245,2026-05-11 13:18:40,C009,2231.06,EUR,Netherlands,deposit
T00405,2026-04-04 04:17:53,C017,21269.11,EUR,Germany,transfer
T00011,2026-03-28 19:37:58,C022,278.79,EUR,Portugal,deposit
T00367,2026-04-27 09:34:07,C029,1155.84,EUR,Malta,withdrawal
T00309,2026-05-25 01:45:58,C004,836.91,EUR,Italy,deposit
T00376,2026-05-21 13:02:32,C038,2528.61,EUR,Portugal,deposit
T00368,2026-05-28 12:45:57,C006,1161.79,EUR,Belgium,transfer
T00047,2026-05-24 03:05:14,C014,723.17,EUR,Germany,withdrawal
T00020,2026-03-08 18:29:22,C031,685.32,EUR,Germany,deposit
T00252,2026-04-18 05:22:49,C004,777.02,EUR,Belgium,transfer
T00090,2026-03-23 20:05:50,C014,447.87,EUR,France,deposit
T00159,2026-05-19 22:20:22,C037,317.16,EUR,Austria,transfer
T00278,2026-03-20 05:59:26,C036,1450.5,EUR,Austria,withdrawal
T00253,2026-04-22 18:16:14,C016,473.91,EUR,France,transfer
T00097,2026-05-13 01:27:53,C037,763.08,EUR,Spain,deposit
T00352,2026-05-21 23:55:54,C015,2302.39,EUR,Germany,withdrawal
T00073,2026-04-11 08:56:17,C030,459.52,EUR,Spain,deposit
T00289,2026-03-31 07:30:11,C027,9500,EUR,Malta,deposit
T00291,2026-03-18 18:20:46,C029,393.85,EUR,Malta,withdrawal
T00181,2026-04-30 18:15:15,C036,762.26,EUR,Belgium,deposit
T00015,2026-03-10 16:08:02,C009,562.74,EUR,France,transfer
T00303,2026-04-10 07:23:44,C032,509.69,EUR,Portugal,withdrawal
T00378,2026-03-16 05:45:07,C037,2192.99,EUR,Malta,withdrawal
T00358,2026-03-24 13:35:29,C009,455.41,EUR,Italy,transfer
T00163,2026-03-07 05:39:52,C021,1787.34,EUR,Italy,deposit
T00304,2026-03-19 00:35:25,C021,490.9,EUR,France,withdrawal
T00122,2026-05-25 00:20:31,C015,613.75,EUR,Spain,withdrawal
T00091,2026-04-06 10:17:36,C011,815.96,EUR,France,transfer
T00432,2026-03-28 05:27:13,C026,9670.29,EUR,Netherlands,deposit
T00431,2026-03-29 13:27:13,C026,9475.63,EUR,Malta,deposit
T00390,2026-03-31 18:01:05,C033,301.77,EUR,Malta,withdrawal
T00295,2026-04-18 06:41:41,C021,1110.1,EUR,Spain,transfer
T00384,2026-03-18 13:56:04,C007,252.47,EUR,Spain,deposit
T00029,2026-05-21 09:32:15,C018,231.31,EUR,Germany,deposit
T00274,2026-04-09 04:16:29,C016,402.75,EUR,Austria,transfer
T00137,2026-04-23 21:23:03,C024,1853.42,EUR,Austria,transfer
T00124,2026-03-26 14:00:22,C028,1142.5,EUR,Spain,withdrawal
T00337,2026-05-13 08:49:35,C039,1847.11,EUR,Portugal,withdrawal
